table,sequence_id,column,datatype,transform,description
diaba,12,cv,float,,Coefficient of variation of the measurement estimate.
diaba,13,mse,float,,Mean Squared Error
,,,,,
natrlcitztc,1,id,int,,Nativity / Citizenship: Naturalized U.S. citizen (0-17)
natrlcitztc,2,geoname,str,,Common name of geographic region
natrlcitztc,3,geotype,str,,Name of the type of geographic region
natrlcitztc,4,geoid,str,,Identification number for the geographic region
natrlcitztc,5,supressed,str,,"If True, estimates for this region have been supressed"
natrlcitztc,6,suppresed_reason,str,,The reason that a estimate is supressed
natrlcitztc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
natrlcitztc,8,estimate,float,,Measurement estimate
natrlcitztc,9,se,float,,Standard error in the measure estimate
natrlcitztc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
natrlcitztc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
natrlcitztc,12,cv,float,,Coefficient of variation of the measurement estimate.
natrlcitztc,13,mse,float,,Mean Squared Error
,,,,,
borncitztc,1,id,int,,Nativity / Citizenship: Born U.S. citizen (0-17)
borncitztc,2,geoname,str,,Common name of geographic region
borncitztc,3,geotype,str,,Name of the type of geographic region
borncitztc,4,geoid,str,,Identification number for the geographic region
borncitztc,5,supressed,str,,"If True, estimates for this region have been supressed"
borncitztc,6,suppresed_reason,str,,The reason that a estimate is supressed
borncitztc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
borncitztc,8,estimate,float,,Measurement estimate
borncitztc,9,se,float,,Standard error in the measure estimate
borncitztc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
borncitztc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
borncitztc,12,cv,float,,Coefficient of variation of the measurement estimate.
borncitztc,13,mse,float,,Mean Squared Error
,,,,,
fslevalla,1,id,int,,Food insecurity: Low-income food insecurity (18+)
fslevalla,2,geoname,str,,Common name of geographic region
fslevalla,3,geotype,str,,Name of the type of geographic region
fslevalla,4,geoid,str,,Identification number for the geographic region
fslevalla,5,supressed,str,,"If True, estimates for this region have been supressed"
fslevalla,6,suppresed_reason,str,,The reason that a estimate is supressed
fslevalla,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
fslevalla,8,estimate,float,,Measurement estimate
fslevalla,9,se,float,,Standard error in the measure estimate
fslevalla,10,ci_lb95,float,,Lower bound on the 95% confidence interval
fslevalla,11,ci_ub95,float,,Upper bound on the 95% confidence interval
fslevalla,12,cv,float,,Coefficient of variation of the measurement estimate.
fslevalla,13,mse,float,,Mean Squared Error
,,,,,
asiantc,1,id,int,,Race: Asian only (0-17)
asiantc,2,geoname,str,,Common name of geographic region
asiantc,3,geotype,str,,Name of the type of geographic region
asiantc,4,geoid,str,,Identification number for the geographic region
asiantc,5,supressed,str,,"If True, estimates for this region have been supressed"
asiantc,6,suppresed_reason,str,,The reason that a estimate is supressed
asiantc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
asiantc,8,estimate,float,,Measurement estimate
asiantc,9,se,float,,Standard error in the measure estimate
asiantc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
asiantc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
asiantc,12,cv,float,,Coefficient of variation of the measurement estimate.
asiantc,13,mse,float,,Mean Squared Error
,,,,,
noncitztc,1,id,int,,Nativity / Citizenship: Non-citizen (0-17)
noncitztc,2,geoname,str,,Common name of geographic region
noncitztc,3,geotype,str,,Name of the type of geographic region
noncitztc,4,geoid,str,,Identification number for the geographic region
noncitztc,5,supressed,str,,"If True, estimates for this region have been supressed"
noncitztc,6,suppresed_reason,str,,The reason that a estimate is supressed
noncitztc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
noncitztc,8,estimate,float,,Measurement estimate
noncitztc,9,se,float,,Standard error in the measure estimate
noncitztc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
noncitztc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
noncitztc,12,cv,float,,Coefficient of variation of the measurement estimate.
noncitztc,13,mse,float,,Mean Squared Error
,,,,,
fphealthe,1,id,int,,Health status: Fair or poor health (65+)
fphealthe,2,geoname,str,,Common name of geographic region
fphealthe,3,geotype,str,,Name of the type of geographic region
fphealthe,4,geoid,str,,Identification number for the geographic region
fphealthe,5,supressed,str,,"If True, estimates for this region have been supressed"
fphealthe,6,suppresed_reason,str,,The reason that a estimate is supressed
fphealthe,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
fphealthe,8,estimate,float,,Measurement estimate
fphealthe,9,se,float,,Standard error in the measure estimate
fphealthe,10,ci_lb95,float,,Lower bound on the 95% confidence interval
fphealthe,11,ci_ub95,float,,Upper bound on the 95% confidence interval
fphealthe,12,cv,float,,Coefficient of variation of the measurement estimate.
fphealthe,13,mse,float,,Mean Squared Error
,,,,,
asiana,1,id,int,,Race: Asian only (18+)
asiana,2,geoname,str,,Common name of geographic region
asiana,3,geotype,str,,Name of the type of geographic region
asiana,4,geoid,str,,Identification number for the geographic region
asiana,5,supressed,str,,"If True, estimates for this region have been supressed"
asiana,6,suppresed_reason,str,,The reason that a estimate is supressed
asiana,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
asiana,8,estimate,float,,Measurement estimate
asiana,9,se,float,,Standard error in the measure estimate
asiana,10,ci_lb95,float,,Lower bound on the 95% confidence interval
asiana,11,ci_ub95,float,,Upper bound on the 95% confidence interval
asiana,12,cv,float,,Coefficient of variation of the measurement estimate.
asiana,13,mse,float,,Mean Squared Error
,,,,,
workinga,1,id,int,,Work Status: Working (18+)
workinga,2,geoname,str,,Common name of geographic region
workinga,3,geotype,str,,Name of the type of geographic region
workinga,4,geoid,str,,Identification number for the geographic region
workinga,5,supressed,str,,"If True, estimates for this region have been supressed"
workinga,6,suppresed_reason,str,,The reason that a estimate is supressed
workinga,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
workinga,8,estimate,float,,Measurement estimate
workinga,9,se,float,,Standard error in the measure estimate
workinga,10,ci_lb95,float,,Lower bound on the 95% confidence interval
workinga,11,ci_ub95,float,,Upper bound on the 95% confidence interval
workinga,12,cv,float,,Coefficient of variation of the measurement estimate.
workinga,13,mse,float,,Mean Squared Error
,,,,,
whitetc,1,id,int,,Race: White only (0-17)
whitetc,2,geoname,str,,Common name of geographic region
whitetc,3,geotype,str,,Name of the type of geographic region
whitetc,4,geoid,str,,Identification number for the geographic region
whitetc,5,supressed,str,,"If True, estimates for this region have been supressed"
whitetc,6,suppresed_reason,str,,The reason that a estimate is supressed
whitetc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
whitetc,8,estimate,float,,Measurement estimate
whitetc,9,se,float,,Standard error in the measure estimate
whitetc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
whitetc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
whitetc,12,cv,float,,Coefficient of variation of the measurement estimate.
whitetc,13,mse,float,,Mean Squared Error
,,,,,
whitea,1,id,int,,Race: White only (18+)
whitea,2,geoname,str,,Common name of geographic region
whitea,3,geotype,str,,Name of the type of geographic region
whitea,4,geoid,str,,Identification number for the geographic region
whitea,5,supressed,str,,"If True, estimates for this region have been supressed"
whitea,6,suppresed_reason,str,,The reason that a estimate is supressed
whitea,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
whitea,8,estimate,float,,Measurement estimate
whitea,9,se,float,,Standard error in the measure estimate
whitea,10,ci_lb95,float,,Lower bound on the 95% confidence interval
whitea,11,ci_ub95,float,,Upper bound on the 95% confidence interval
whitea,12,cv,float,,Coefficient of variation of the measurement estimate.
whitea,13,mse,float,,Mean Squared Error
,,,,,
uninstc,1,id,int,,Uninsured: Currently uninsured (0-17)
uninstc,2,geoname,str,,Common name of geographic region
uninstc,3,geotype,str,,Name of the type of geographic region
uninstc,4,geoid,str,,Identification number for the geographic region
uninstc,5,supressed,str,,"If True, estimates for this region have been supressed"
uninstc,6,suppresed_reason,str,,The reason that a estimate is supressed
uninstc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
uninstc,8,estimate,float,,Measurement estimate
uninstc,9,se,float,,Standard error in the measure estimate
uninstc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
uninstc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
uninstc,12,cv,float,,Coefficient of variation of the measurement estimate.
uninstc,13,mse,float,,Mean Squared Error
,,,,,
uninsa,1,id,int,,Uninsured: Currently uninsured (18-64)
uninsa,2,geoname,str,,Common name of geographic region
uninsa,3,geotype,str,,Name of the type of geographic region
uninsa,4,geoid,str,,Identification number for the geographic region
uninsa,5,supressed,str,,"If True, estimates for this region have been supressed"
uninsa,6,suppresed_reason,str,,The reason that a estimate is supressed
uninsa,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
uninsa,8,estimate,float,,Measurement estimate
uninsa,9,se,float,,Standard error in the measure estimate
uninsa,10,ci_lb95,float,,Lower bound on the 95% confidence interval
uninsa,11,ci_ub95,float,,Upper bound on the 95% confidence interval
uninsa,12,cv,float,,Coefficient of variation of the measurement estimate.
uninsa,13,mse,float,,Mean Squared Error
,,,,,
smkcura,1,id,int,,Smoking: Current smoker (18+)
smkcura,2,geoname,str,,Common name of geographic region
smkcura,3,geotype,str,,Name of the type of geographic region
smkcura,4,geoid,str,,Identification number for the geographic region
smkcura,5,supressed,str,,"If True, estimates for this region have been supressed"
smkcura,6,suppresed_reason,str,,The reason that a estimate is supressed
smkcura,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
smkcura,8,estimate,float,,Measurement estimate
smkcura,9,se,float,,Standard error in the measure estimate
smkcura,10,ci_lb95,float,,Lower bound on the 95% confidence interval
smkcura,11,ci_ub95,float,,Upper bound on the 95% confidence interval
smkcura,12,cv,float,,Coefficient of variation of the measurement estimate.
smkcura,13,mse,float,,Mean Squared Error
,,,,,
povertya,1,id,int,,Poverty: Living In poverty (&lt;100%FPL) (18+)
povertya,2,geoname,str,,Common name of geographic region
povertya,3,geotype,str,,Name of the type of geographic region
povertya,4,geoid,str,,Identification number for the geographic region
povertya,5,supressed,str,,"If True, estimates for this region have been supressed"
povertya,6,suppresed_reason,str,,The reason that a estimate is supressed
povertya,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
povertya,8,estimate,float,,Measurement estimate
povertya,9,se,float,,Standard error in the measure estimate
povertya,10,ci_lb95,float,,Lower bound on the 95% confidence interval
povertya,11,ci_ub95,float,,Upper bound on the 95% confidence interval
povertya,12,cv,float,,Coefficient of variation of the measurement estimate.
povertya,13,mse,float,,Mean Squared Error
,,,,,
pakidstc,1,id,int,,Physical activity: Regular physical activity (5-17)
pakidstc,2,geoname,str,,Common name of geographic region
pakidstc,3,geotype,str,,Name of the type of geographic region
pakidstc,4,geoid,str,,Identification number for the geographic region
pakidstc,5,supressed,str,,"If True, estimates for this region have been supressed"
pakidstc,6,suppresed_reason,str,,The reason that a estimate is supressed
pakidstc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
pakidstc,8,estimate,float,,Measurement estimate
pakidstc,9,se,float,,Standard error in the measure estimate
pakidstc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
pakidstc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
pakidstc,12,cv,float,,Coefficient of variation of the measurement estimate.
pakidstc,13,mse,float,,Mean Squared Error
,,,,,
samehousea,1,id,int,,Mobility: Lived in same home 1 year ago (18+)
samehousea,2,geoname,str,,Common name of geographic region
samehousea,3,geotype,str,,Name of the type of geographic region
samehousea,4,geoid,str,,Identification number for the geographic region
samehousea,5,supressed,str,,"If True, estimates for this region have been supressed"
samehousea,6,suppresed_reason,str,,The reason that a estimate is supressed
samehousea,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
samehousea,8,estimate,float,,Measurement estimate
samehousea,9,se,float,,Standard error in the measure estimate
samehousea,10,ci_lb95,float,,Lower bound on the 95% confidence interval
samehousea,11,ci_ub95,float,,Upper bound on the 95% confidence interval
samehousea,12,cv,float,,Coefficient of variation of the measurement estimate.
samehousea,13,mse,float,,Mean Squared Error
