table,datatype,caster,column,description
geofile333,int,,id,Geofile for: Combined Statistical Area-CBSA-State
geofile333,str,,fileid,Always equal to ACS Summary File identification
geofile333,str,,stusab,State Postal Abbreviation
geofile333,int,,sumlevel,Summary Level
geofile333,str,,component,Geographic Component
geofile333,int,,logrecno,Logical Record Number
geofile333,int,,state,State (FIPS Code)
geofile333,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile333,int,,csa,Combined Statistical Area
geofile333,str,,geoid,Geographic Identifier
geofile333,str,,name,Area Name
,,,,
geofile795,int,,id,Geofile for: State-Public Use MicroSample Area 5%
geofile795,str,,fileid,Always equal to ACS Summary File identification
geofile795,str,,stusab,State Postal Abbreviation
geofile795,int,,sumlevel,Summary Level
geofile795,str,,component,Geographic Component
geofile795,int,,logrecno,Logical Record Number
geofile795,int,,state,State (FIPS Code)
geofile795,int,,puma5,Public Use Microdata Area 5% File
geofile795,str,,geoid,Geographic Identifier
geofile795,str,,name,Area Name
,,,,
geofile622,int,,id,Geofile for: State House District-County
geofile622,str,,fileid,Always equal to ACS Summary File identification
geofile622,str,,stusab,State Postal Abbreviation
geofile622,int,,sumlevel,Summary Level
geofile622,str,,component,Geographic Component
geofile622,int,,logrecno,Logical Record Number
geofile622,int,,state,State (FIPS Code)
geofile622,int,,county,County of current residence
geofile622,int,non_int_is_null,sldl,State Legislative District Lower
geofile622,str,,geoid,Geographic Identifier
geofile622,str,,name,Area Name
,,,,
geofile360,int,,id,Geofile for: State-New England City and Town Area
geofile360,str,,fileid,Always equal to ACS Summary File identification
geofile360,str,,stusab,State Postal Abbreviation
geofile360,int,,sumlevel,Summary Level
geofile360,str,,component,Geographic Component
geofile360,int,,logrecno,Logical Record Number
geofile360,int,,state,State (FIPS Code)
geofile360,int,,necta,New England City and Town Area
geofile360,str,,geoid,Geographic Identifier
geofile360,str,,name,Area Name
,,,,
geofile323,int,,id,Geofile for: State- Metropolitan Statistical Area/Metropolitan Division
geofile323,str,,fileid,Always equal to ACS Summary File identification
geofile323,str,,stusab,State Postal Abbreviation
geofile323,int,,sumlevel,Summary Level
geofile323,str,,component,Geographic Component
geofile323,int,,logrecno,Logical Record Number
geofile323,int,,state,State (FIPS Code)
geofile323,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile323,int,,metdiv,Metropolitan Statistical Area- Metropolitan Division
geofile323,int,,memi,Metropolitan/Micropolitan Indicator Flag
geofile323,str,,geoid,Geographic Identifier
geofile323,str,,name,Area Name
,,,,
geofile67,int,,id,Geofile for: State (Puerto Rico Only)-County-County Subdivision-Subbarrio
geofile67,str,,fileid,Always equal to ACS Summary File identification
geofile67,str,,stusab,State Postal Abbreviation
geofile67,int,,sumlevel,Summary Level
geofile67,str,,component,Geographic Component
geofile67,int,,logrecno,Logical Record Number
geofile67,int,,state,State (FIPS Code)
geofile67,int,,county,County of current residence
geofile67,int,,cousub,County Subdivision (FIPS)
geofile67,int,,submcd,Subminor Civil Division (FIPS)
geofile67,str,,geoid,Geographic Identifier
geofile67,str,,name,Area Name
,,,,
geofile40,int,,id,Geofile for: State
geofile40,str,,fileid,Always equal to ACS Summary File identification
geofile40,str,,stusab,State Postal Abbreviation
geofile40,int,,sumlevel,Summary Level
geofile40,str,,component,Geographic Component
geofile40,int,,logrecno,Logical Record Number
geofile40,int,,state,State (FIPS Code)
geofile40,int,,memi,Metropolitan/Micropolitan Indicator Flag
geofile40,str,,ur,Urban/Rural
geofile40,str,,pci,Principal City Indicator
geofile40,str,,geoid,Geographic Identifier
geofile40,str,,name,Area Name
,,,,
geofile510,int,,id,Geofile for:
geofile510,str,,fileid,Always equal to ACS Summary File identification
geofile510,str,,stusab,State Postal Abbreviation
geofile510,int,,sumlevel,Summary Level
geofile510,str,,component,Geographic Component
geofile510,int,,logrecno,Logical Record Number
geofile510,int,,state,State (FIPS Code)
geofile510,int,,county,County of current residence
geofile510,int,,cdcurr,Current Congressional District ***
geofile510,str,,geoid,Geographic Identifier
geofile510,str,,name,Area Name
,,,,
geofile338,int,,id,Geofile for: Combined New England City and Town Area -New England City and Town Area-State
geofile338,str,,fileid,Always equal to ACS Summary File identification
geofile338,str,,stusab,State Postal Abbreviation
geofile338,int,,sumlevel,Summary Level
geofile338,str,,component,Geographic Component
geofile338,int,,logrecno,Logical Record Number
geofile338,int,,state,State (FIPS Code)
geofile338,int,,necta,New England City and Town Area
geofile338,int,,cnecta,New England City and Town Combined Statistical Area
geofile338,str,,geoid,Geographic Identifier
geofile338,str,,name,Area Name
,,,,
geofile310,int,,id,Geofile for: CBSA
geofile310,str,,fileid,Always equal to ACS Summary File identification
geofile310,str,,stusab,State Postal Abbreviation
geofile310,int,,sumlevel,Summary Level
geofile310,str,,component,Geographic Component
geofile310,int,,logrecno,Logical Record Number
geofile310,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile310,str,,geoid,Geographic Identifier
geofile310,str,,name,Area Name
,,,,
geofile170,int,,id,Geofile for: Consolidated City
geofile170,str,,fileid,Always equal to ACS Summary File identification
geofile170,str,,stusab,State Postal Abbreviation
geofile170,int,,sumlevel,Summary Level
geofile170,str,,component,Geographic Component
geofile170,int,,logrecno,Logical Record Number
geofile170,int,,state,State (FIPS Code)
geofile170,int,,concit,Consolidated City
geofile170,str,,geoid,Geographic Identifier
geofile170,str,,name,Area Name
,,,,
geofile250,int,,id,Geofile for: American Indian Area/Alaska Native Area/Hawaiian Home Land
geofile250,str,,fileid,Always equal to ACS Summary File identification
geofile250,str,,stusab,State Postal Abbreviation
geofile250,int,,sumlevel,Summary Level
geofile250,str,,component,Geographic Component
geofile250,int,,logrecno,Logical Record Number
geofile250,int,,aianhh,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile250,str,,geoid,Geographic Identifier
geofile250,str,,name,Area Name
,,,,
geofile620,int,,id,Geofile for: State House District
geofile620,str,,fileid,Always equal to ACS Summary File identification
geofile620,str,,stusab,State Postal Abbreviation
geofile620,int,,sumlevel,Summary Level
geofile620,str,,component,Geographic Component
geofile620,int,,logrecno,Logical Record Number
geofile620,int,,state,State (FIPS Code)
geofile620,int,non_int_is_null,sldl,State Legislative District Lower
geofile620,str,,geoid,Geographic Identifier
geofile620,str,,name,Area Name
,,,,
geofile20,int,,id,Geofile for: Region
geofile20,str,,fileid,Always equal to ACS Summary File identification
geofile20,str,,stusab,State Postal Abbreviation
geofile20,int,,sumlevel,Summary Level
geofile20,str,,component,Geographic Component
geofile20,int,,logrecno,Logical Record Number
geofile20,int,,region,Census Region
geofile20,int,,memi,Metropolitan/Micropolitan Indicator Flag
geofile20,str,,ur,Urban/Rural
geofile20,str,,pci,Principal City Indicator
geofile20,str,,geoid,Geographic Identifier
geofile20,str,,name,Area Name
,,,,
geofile340,int,,id,Geofile for: State-Combined Statistical Area
geofile340,str,,fileid,Always equal to ACS Summary File identification
geofile340,str,,stusab,State Postal Abbreviation
geofile340,int,,sumlevel,Summary Level
geofile340,str,,component,Geographic Component
geofile340,int,,logrecno,Logical Record Number
geofile340,int,,state,State (FIPS Code)
geofile340,int,,csa,Combined Statistical Area
geofile340,str,,geoid,Geographic Identifier
geofile340,str,,name,Area Name
,,,,
geofile362,int,,id,Geofile for: State-New England City and Town Area-County
geofile362,str,,fileid,Always equal to ACS Summary File identification
geofile362,str,,stusab,State Postal Abbreviation
geofile362,int,,sumlevel,Summary Level
geofile362,str,,component,Geographic Component
geofile362,int,,logrecno,Logical Record Number
geofile362,int,,state,State (FIPS Code)
geofile362,int,,county,County of current residence
geofile362,int,,necta,New England City and Town Area
geofile362,str,,geoid,Geographic Identifier
geofile362,str,,name,Area Name
,,,,
geofile610,int,,id,Geofile for: State Senate District
geofile610,str,,fileid,Always equal to ACS Summary File identification
geofile610,str,,stusab,State Postal Abbreviation
geofile610,int,,sumlevel,Summary Level
geofile610,str,,component,Geographic Component
geofile610,int,,logrecno,Logical Record Number
geofile610,int,,state,State (FIPS Code)
geofile610,int,non_int_is_null,sldu,State Legislative District Upper
geofile610,str,,geoid,Geographic Identifier
geofile610,str,,name,Area Name
,,,,
geofile315,int,,id,Geofile for: Metropolitan Statistical Area/Metropolitan Division-State
geofile315,str,,fileid,Always equal to ACS Summary File identification
geofile315,str,,stusab,State Postal Abbreviation
geofile315,int,,sumlevel,Summary Level
geofile315,str,,component,Geographic Component
geofile315,int,,logrecno,Logical Record Number
geofile315,int,,state,State (FIPS Code)
geofile315,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile315,int,,metdiv,Metropolitan Statistical Area- Metropolitan Division
geofile315,int,,memi,Metropolitan/Micropolitan Indicator Flag
geofile315,str,,geoid,Geographic Identifier
geofile315,str,,name,Area Name
,,,,
geofile330,int,,id,Geofile for: Combined Statistical Area
geofile330,str,,fileid,Always equal to ACS Summary File identification
geofile330,str,,stusab,State Postal Abbreviation
geofile330,int,,sumlevel,Summary Level
geofile330,str,,component,Geographic Component
geofile330,int,,logrecno,Logical Record Number
geofile330,int,,csa,Combined Statistical Area
geofile330,str,,geoid,Geographic Identifier
geofile330,str,,name,Area Name
,,,,
geofile337,int,,id,Geofile for: Combined New England City and Town Area -New England City and Town Area
geofile337,str,,fileid,Always equal to ACS Summary File identification
geofile337,str,,stusab,State Postal Abbreviation
geofile337,int,,sumlevel,Summary Level
geofile337,str,,component,Geographic Component
geofile337,int,,logrecno,Logical Record Number
geofile337,int,,necta,New England City and Town Area
geofile337,int,,cnecta,New England City and Town Combined Statistical Area
geofile337,str,,geoid,Geographic Identifier
geofile337,str,,name,Area Name
,,,,
geofile,int,,id,
geofile,str,,fileid,Always equal to ACS Summary File identification
geofile,str,,stusab,State Postal Abbreviation
geofile,int,,sumlevel,Summary Level
geofile,str,,component,Geographic Component
geofile,int,,logrecno,Logical Record Number
geofile,int,,us,US
geofile,int,,region,Census Region
geofile,int,,division,Census Division
geofile,int,,statece,State (Census Code)
geofile,int,,state,State (FIPS Code)
geofile,int,,county,County of current residence
geofile,int,,cousub,County Subdivision (FIPS)
geofile,int,,place,Place (FIPS Code)
geofile,int,,tract,Census Tract
geofile,int,,blkgrp,Block Group
geofile,int,,concit,Consolidated City
geofile,int,,aianhh,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile,int,,aianhhfp,American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS)
geofile,str,,aihhtli,American Indian Trust Land/ Hawaiian Home Land Indicator
geofile,int,,aitsce,American Indian Tribal Subdivision (Census)
geofile,int,,aits,American Indian Tribal Subdivision (FIPS)
geofile,int,,anrc,Alaska Native Regional Corporation (FIPS)
geofile,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile,int,,csa,Combined Statistical Area
geofile,int,,metdiv,Metropolitan Statistical Area- Metropolitan Division
geofile,int,,macc,Metropolitan Area Central City
geofile,int,,memi,Metropolitan/Micropolitan Indicator Flag
geofile,int,,necta,New England City and Town Area
geofile,int,,cnecta,New England City and Town Combined Statistical Area
geofile,int,,nectadiv,New England City and Town Area Division
geofile,int,,ua,Urban Area
geofile,int,,cdcurr,Current Congressional District ***
geofile,int,non_int_is_null,sldu,State Legislative District Upper
geofile,int,non_int_is_null,sldl,State Legislative District Lower
geofile,int,,submcd,Subminor Civil Division (FIPS)
geofile,str,,sdelm,State-School District (Elementary)
geofile,str,,sdsec,State-School District (Secondary)
geofile,str,,sduni,State-School District (Unified)
geofile,str,,ur,Urban/Rural
geofile,str,,pci,Principal City Indicator
geofile,int,,puma5,Public Use Microdata Area 5% File
geofile,str,,geoid,Geographic Identifier
geofile,str,,name,Area Name
,,,,
geofile612,int,,id,Geofile for: State Senate District-County
geofile612,str,,fileid,Always equal to ACS Summary File identification
geofile612,str,,stusab,State Postal Abbreviation
geofile612,int,,sumlevel,Summary Level
geofile612,str,,component,Geographic Component
geofile612,int,,logrecno,Logical Record Number
geofile612,int,,state,State (FIPS Code)
geofile612,int,,county,County of current residence
geofile612,int,non_int_is_null,sldu,State Legislative District Upper
geofile612,str,,geoid,Geographic Identifier
geofile612,str,,name,Area Name
,,,,
geofile353,int,,id,Geofile for: New England City and Town Area-State-County
geofile353,str,,fileid,Always equal to ACS Summary File identification
geofile353,str,,stusab,State Postal Abbreviation
geofile353,int,,sumlevel,Summary Level
geofile353,str,,component,Geographic Component
geofile353,int,,logrecno,Logical Record Number
geofile353,int,,state,State (FIPS Code)
geofile353,int,,county,County of current residence
geofile353,int,,necta,New England City and Town Area
geofile353,str,,geoid,Geographic Identifier
geofile353,str,,name,Area Name
,,,,
geofile252,int,,id,Geofile for: American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)4
geofile252,str,,fileid,Always equal to ACS Summary File identification
geofile252,str,,stusab,State Postal Abbreviation
geofile252,int,,sumlevel,Summary Level
geofile252,str,,component,Geographic Component
geofile252,int,,logrecno,Logical Record Number
geofile252,int,,aianhh,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile252,str,,aihhtli,American Indian Trust Land/ Hawaiian Home Land Indicator
geofile252,str,,geoid,Geographic Identifier
geofile252,str,,name,Area Name
,,,,
geofile350,int,,id,Geofile for: New England City and Town Area
geofile350,str,,fileid,Always equal to ACS Summary File identification
geofile350,str,,stusab,State Postal Abbreviation
geofile350,int,,sumlevel,Summary Level
geofile350,str,,component,Geographic Component
geofile350,int,,logrecno,Logical Record Number
geofile350,int,,necta,New England City and Town Area
geofile350,str,,geoid,Geographic Identifier
geofile350,str,,name,Area Name
